"subject","no_op_score","wins","no_op_trials"
1001,0.0142857142857143,31,70
1002,0,33,69
1003,0,38,70
1004,0.0142857142857143,33,70
1005,0,32,70
1006,0,33,68
1007,0,32,68
1009,0,34,70
1010,0,33,70
1012,0,31,69
1013,0,27,64
1014,0.142857142857143,34,63
1015,0,37,67
1016,0.0142857142857143,34,70
1017,0.0158730158730159,29,63
1018,0.0952380952380952,23,63
1019,0,32,70
1020,0.0303030303030303,36,66
1021,0,28,61
1022,0.0144927536231884,40,69
1023,0,31,69
1024,0.0151515151515152,36,66
1025,0.0147058823529412,38,68
1026,0,32,64
1028,0.0579710144927536,38,69
1029,0.0142857142857143,35,70
1030,0.357142857142857,38,70
1031,0.0142857142857143,37,70
1032,0.0434782608695652,36,69
1033,0,36,70
1036,0,42,67
1037,0.0597014925373134,31,67
1038,0.0142857142857143,34,70
1039,0.0441176470588235,27,68
1040,0,36,70
1041,0.0142857142857143,34,70
1042,0.0147058823529412,30,68
1043,0.0144927536231884,34,69
1044,0,36,70
1045,0,39,69
1046,0.0144927536231884,30,69
1047,0,37,70
1048,0.0579710144927536,39,69
1049,0.117647058823529,30,51
1050,0.227272727272727,29,66
1051,0.0289855072463768,36,69
1052,0.0144927536231884,32,69
1053,0,35,70
1054,0.0289855072463768,37,69
1055,0.0428571428571429,33,70
1056,0,34,70
1057,0.0144927536231884,32,69
1058,0,35,70
1059,0.0142857142857143,39,70
1060,0.0144927536231884,29,69
1061,0.0289855072463768,37,69
1062,0.0285714285714286,41,70
1063,0.0285714285714286,32,70
1064,0,31,68
1065,0,35,70
1066,0.106060606060606,29,66
1067,0,34,70
